Depth,Map,Width,Height,PointA,PointB,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,AvgTime,Distance,NodesVisited
4,A,1000,1000,(66 933),(933 66),0,0.000997,0.000998,0.000997,0.000998,0.004987,0.001995,0.001994,0,0.000997,0.0013963,1747.58,117
4,A,1000,1000,(66 933),(933 933),0,0.000997,0,0.000997,0.000998,0,0,0.001406,0.000994,0,0.0005392,1580.23,100
4,A,1000,1000,(66 66),(933 933),0,0.000998,0,0.000996,0.000998,0,0.001,0.000996,0.000998,0,0.0005986,1348.95,97
4,A,1500,1500,(100 100),(1400 100),0,0,0.000997,0,0.000997,0,0,0.000997,0,0.000997,0.0003988,2272.67,116
4,A,1500,1500,(100 1400),(1400 100),0.000995,0.000997,0,0.000998,0.000997,0,0.000997,0.000999,0.000996,0.00101,0.0007989,2620.65,117
4,A,1500,1500,(100 1400),(1400 1400),0.000997,0,0.000997,0,0.000997,0,0.000955,0,0.000982,0.000998,0.0005926,2370.7,100
4,A,1500,1500,(100 100),(1400 1400),0.000992,0,0.000996,0.000999,0,0.001007,0.000993,0,0.000997,0,0.0005984,2022.72,98
4,A,3000,3000,(200 200),(2800 200),0.000992,0.000997,0,0.000998,0,0.000998,0.000995,0.001,0,0.000996,0.0006976,4545.34,116
4,A,3000,3000,(200 2800),(2800 200),0.000997,0,0.001003,0,0.000993,0.000996,0,0.000998,0.002002,0.00099,0.0007979,5241.3,117
4,A,3000,3000,(200 2800),(2800 2800),0,0.000998,0,0.000997,0,0.000997,0,0.000998,0.000997,0,0.0004987,4741.39,100
4,A,3000,3000,(200 200),(2800 2800),0,0.000994,0,0.000997,0,0.001,0.001,0,0.000994,0.003988,0.0008973,4045.44,98
4,B,100,100,(6 6),(93 6),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,100,100,(6 93),(93 6),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,100,100,(6 93),(93 93),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,100,100,(6 6),(93 93),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,200,200,(13 13),(186 13),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,200,200,(13 186),(186 13),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,200,200,(13 186),(186 186),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,200,200,(13 13),(186 186),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,400,400,(26 26),(373 26),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,400,400,(26 373),(373 26),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,400,400,(26 373),(373 373),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,400,400,(26 26),(373 373),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,500,500,(33 33),(466 33),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,500,500,(33 466),(466 33),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,500,500,(33 466),(466 466),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,500,500,(33 33),(466 466),0.000998,0,0,0,0,0,0,0,0,0,9.98e-005,0,-1
4,B,600,600,(40 40),(560 40),0,0,0,0,0.000998,0,0,0,0,0,9.98e-005,0,-1
4,B,600,600,(40 560),(560 40),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,600,600,(40 560),(560 560),0,0,0,0,0,0,0,0,0,0,0,0,-1
4,B,600,600,(40 40),(560 560),0,0,0,0,0,0,0,0,0,0,0,0,-1
