Depth,Map,Width,Height,PointA,PointB,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,AvgTime,Distance,NodesVisited
5,B,500,500,(33.3333 33.3333),(466.667 33.3333),0.000994,0.001996,0.001994,0.001996,0.001996,0.001997,0.000998,0.001992,0.002946,0.002049,0.0018958,1697.07,286
5,B,500,500,(33.3333 466.667),(466.667 33.3333),0.002002,0.001999,0.001994,0.001994,0.000995,0.001999,0.001997,0.001994,0.001992,0.001992,0.0018958,2149.13,281
5,B,500,500,(33.3333 466.667),(466.667 466.667),0.002008,0.000996,0.000997,0.000997,0.001,0.001993,0.001,0.000992,0.001001,0.001998,0.0012982,1621.87,266
5,B,500,500,(33.3333 33.3333),(466.667 466.667),0.001994,0.002038,0.000994,0.001003,0.001989,0.001003,0.002001,0.000988,0.000998,0.002002,0.001501,1866.45,288
5,B,600,600,(40 40),(560 40),0.002039,0.001002,0.00199,0.001995,0.002,0.001993,0.000995,0.001997,0.001994,0.001991,0.0017996,2036.49,286
5,B,600,600,(40 560),(560 40),0.001009,0.002971,0.001969,0.002036,0.001997,0.001951,0.001994,0.002999,0.001988,0.001994,0.0020908,2578.96,281
5,B,600,600,(40 560),(560 560),0.001003,0.001995,0.000997,0.000995,0.001003,0.001948,0.001997,0.000996,0.002028,0.000963,0.0013925,1946.25,266
5,B,600,600,(40 40),(560 560),0.00103,0.001991,0.001006,0.000993,0.002002,0.000994,0.002003,0.000988,0.001997,0.001003,0.0014007,2239.73,288
5,B,1000,1000,(66.6667 66.6667),(933.333 66.6667),0.001992,0.001996,0.001991,0.002001,0.001991,0.001999,0.001992,0.001994,0.000997,0.001995,0.0018948,3483.96,279
5,B,1000,1000,(66.6667 933.333),(933.333 66.6667),0.002039,0.001997,0.000999,0.001992,0.001992,0.001998,0.001992,0.001002,0.001996,0.00199,0.0017997,4388.07,279
5,B,1000,1000,(66.6667 933.333),(933.333 933.333),0.001034,0.001008,0.001991,0.000997,0.001951,0.001043,0.001999,0.000948,0.001043,0.000999,0.0013013,3243.75,266
5,B,1000,1000,(66.6667 66.6667),(933.333 933.333),0.001001,0.000952,0.002039,0.001005,0.00099,0.000999,0.001992,0.000954,0.002041,0.000998,0.0012971,3732.89,287
5,B,1500,1500,(100 100),(1400 100),0.002962,0.002008,0.002973,0.004005,0.00199,0.002007,0.002011,0.001997,0.001953,0.003029,0.0024935,5225.94,278
